idCard;Amount_of_money;Account_number;Corr_account;BIK;idClient;idBank
3001;51891;7386755113054860;4035189798039990;798039990;1001;11
3002;650642;4337631218777490;3345985602058270;602058270;1002;12
3003;759115;5743529691215960;1755652642591330;642591330;1003;13
3004;157024;9173568709899960;3081929093090830;093090830;1004;14
3005;480812;5442450939795710;5885031606093170;606093170;1005;15
3006;894400;8123434756036980;7136281055445910;055445910;1006;16
3007;686290;6015532073057040;1839211163485470;163485470;1007;17
3008;650159;9685327651867000;1246031094144350;094144350;1008;18
3009;427436;3831807653965620;6110912009885900;009885900;1009;19
3010;26451;8457603520329560;3023989069728630;069728630;1010;20
3011;624363;3036753412347180;8615269515851230;515851230;1011;21
3012;83252;9233618806912570;3051470458577840;458577840;1012;22
3013;636210;2980628934247330;3948826624298190;624298190;1013;23
3014;125959;6921794229277990;8648768998909250;998909250;1014;24
3015;398347;9708983815580970;2623065631868990;631868990;1015;25
3016;793771;8301049545171440;5865507485829990;485829990;1016;26
3017;657243;8397860089482390;8873782885180200;885180200;1017;27
3018;855096;7941043835258410;3456018731081190;731081190;1018;28
3019;84230;5088482033305380;2991714004583700;004583700;1019;29
3020;366246;9085752292600610;2589293022588780;022588780;1020;30
3021;299435;9732738264620640;9477619997710550;997710550;1021;31
3022;99661;7776598195150820;5875367465213890;465213890;1022;32
3023;87104;6472030871195120;1573857901716210;901716210;1023;33
3024;397909;2086215164118680;2697846208193970;208193970;1024;34
3025;333599;3040879610999710;9502161035224920;035224920;1025;35
3026;859720;4213757564174020;1462632881431420;881431420;1026;36
3027;469285;9561822193788260;5951412838732900;838732900;1027;37
3028;514307;1288627101853270;9376043548017780;548017780;1028;38
3029;445586;7098380269794780;7033523935352170;935352170;1029;39
3030;390212;3451031694510920;5299328091095820;091095820;1030;40
3031;528441;2994440033674490;5337710720772260;720772260;1031;41
3032;634936;8469131131687700;1456550016713290;016713290;1032;42
3033;439413;9237690731218290;9768829283120390;283120390;1033;43
3034;591593;9812595464260300;2855608472327500;472327500;1034;44
3035;625717;4374676412752860;5081263659649810;659649810;1035;45
3036;488859;3016310732298480;1830037882931900;882931900;1036;46
3037;690385;6990876123918930;7897754734180780;734180780;1037;47
3038;650444;6585957677889380;3069987707105540;707105540;1038;48
3039;263859;1497766005271360;3152355959625850;959625850;1039;49
3040;380339;5989038064027740;1098139824307870;824307870;1040;50
3041;848222;8403327720914660;8834905010667220;010667220;1041;51
3042;930110;8652230470169720;6349233151590780;151590780;1042;52
3043;415342;9328472894585070;5365500627336820;627336820;1043;53
3044;204455;6699614163434180;7684403117292630;117292630;1044;54
3045;790180;4654106681546190;8143715421647010;421647010;1045;55
3046;111313;4242631758913750;4444252016044090;016044090;1046;56
3047;100489;9715202823340080;8197688773074110;773074110;1047;57
3048;712733;9635748683416620;5852259424431680;424431680;1048;58
3049;824184;3518374520589740;6725463376513800;376513800;1049;59
3050;582789;1591548401382600;5172641396950850;396950850;1050;60
3051;215603;1114146376357150;5817804327340980;327340980;1051;61
3052;28769;8255513330064670;5154303184367800;184367800;1052;62
3053;141943;4152708347125970;3422002636589530;636589530;1053;63
3054;81902;1894155682931620;3149881329989430;329989430;1054;64
3055;611086;6110344600575710;8643695309356000;309356000;1055;65
3056;413856;2176088952030430;5881590499124420;499124420;1056;66
3057;522085;6272979825181900;4522085623665960;623665960;1057;67
3058;585277;6339550789031890;9220275399275140;399275140;1058;68
3059;419566;2594110012392730;6657748638816330;638816330;1059;69
3060;282604;6466937944545500;5973741007302350;007302350;1060;70
3061;283272;2874543121810760;2039403050232340;050232340;1061;71
3062;449418;9327113364633430;4394785978294210;978294210;1062;72
3063;634026;6902495695418590;2449006335738180;335738180;1063;73
3064;468571;1212977709425000;1226656777692560;777692560;1064;74
3065;487335;4515758058189930;1786858580148430;580148430;1065;75
3066;801342;4876142115250940;1510873087646620;087646620;1066;76
3067;935922;1009138054289770;3768348908014220;908014220;1067;77
3068;739884;1560921541561090;1172332126368690;126368690;1068;78
3069;392391;5111067123817170;7184356052409710;052409710;1069;79
3070;179193;1426355839127480;1335354728863910;728863910;1070;80
3071;773314;9465687464400880;4720981210148020;210148020;1071;81
3072;564866;9366194331186220;8905383915556670;915556670;1072;82
3073;155970;4323530813202190;8018754495178850;495178850;1073;83
3074;422878;9692622083695360;5340791642328620;642328620;1074;84
3075;688988;7572432647234720;4310917680337690;680337690;1075;85
3076;127659;8813773678539250;9557425143847550;143847550;1076;86
3077;788145;5497068901262010;2244395130033990;130033990;1077;87
3078;814685;7479492778318450;1981869031880490;031880490;1078;88
3079;898580;8541421542804820;5124308656150250;656150250;1079;89
3080;593854;5912543386919730;2495894452691370;452691370;1080;90
3081;354650;3785739025840800;7250773427917030;427917030;1081;91
3082;469906;8834608794816690;2034734271773670;271773670;1082;92
3083;118704;2863295438121820;6650517360029820;360029820;1083;93
3084;626108;7867438347434100;4612069956446810;956446810;1084;94
3085;430008;7518283049330850;4018014786821400;786821400;1085;95
3086;977474;9663653293610880;6738418745094860;745094860;1086;96
3087;645076;9656772174208020;1179313237443700;237443700;1087;97
3088;149774;1314193287387860;6127144522098680;522098680;1088;98
3089;800659;8217233820261500;7063137599318640;599318640;1089;99
3090;290570;9495286317201660;4656189436675880;436675880;1090;100
3091;680638;2368903833258570;6072984717241670;717241670;1091;101
3092;368528;4664014470032510;9432062504855130;504855130;1092;102
3093;418078;3345598383271100;5320912536225910;536225910;1093;103
3094;867267;8141737479666510;1028536350853620;350853620;1094;104
3095;913683;5414382630583070;7366693542112540;542112540;1095;105
3096;29989;6327293979801920;9004029650513790;650513790;1096;106
3097;601908;4631001012198030;6673372907409150;907409150;1097;107
3098;61139;5078597269193410;9908357834560570;834560570;1098;108
3099;345981;3202639920042410;9774096877933920;877933920;1099;109
3100;941348;7488516482612610;4587468989285860;989285860;1100;110
3101;493078;2671818093897190;3749407795172380;795172380;1101;111
3102;761898;8605837235300330;4863403118981300;118981300;1102;112
3103;370903;3741003240448410;6804247666249290;666249290;1103;113
3104;734988;1437958141349270;3398815975026630;975026630;1104;114
3105;756932;6581589860560680;3671823750917010;750917010;1105;115
3106;286009;7941197941506380;2189167930236410;930236410;1106;116
3107;101549;8402259894380150;7363789665187790;665187790;1107;117
3108;884116;3492028778060250;7148881500959510;500959510;1108;118
3109;536354;1787477360262690;6776432276986500;276986500;1109;119
3110;517323;8935416918047580;9812754608004420;608004420;1110;120
3111;948867;6555016439704350;3524400327565690;327565690;1111;121
3112;968383;8895446992236950;8746611618653940;618653940;1112;122
3113;654891;2151784001565620;6412246984537010;984537010;1113;123
3114;297697;7826869969106810;5004553667882160;667882160;1114;124
3115;449784;2464613227142860;3362659509123240;509123240;1115;125
3116;189509;4162694965270700;6943586286707600;286707600;1116;126
3117;69880;5319603599920790;1428586463705030;463705030;1117;127
3118;67624;9954825322112440;6252497203116900;203116900;1118;128
3119;345327;2263611963878010;4058089957342270;957342270;1119;129
3120;136912;1530417909497900;4551930465242840;465242840;1120;130
3121;575571;1322152407048490;2495805325431790;325431790;1121;131
3122;756851;3659489979352390;8170565765182180;765182180;1122;132
3123;908752;2731896681199440;4626885427422390;427422390;1123;133
3124;803330;4555805864722980;3395146095794120;095794120;1124;134
3125;756253;5942719333188810;4673402350146980;350146980;1125;135
3126;925009;2114387871003950;1053399365781760;365781760;1126;136
3127;523663;2083399893170610;6191993168675650;168675650;1127;137
3128;850441;4867578385620460;2850388140624990;140624990;1128;138
3129;189381;8643379100611050;1218303361518390;361518390;1129;139
3130;152236;7080724684850380;8695116597173970;597173970;1130;140
3131;512143;5969286685547990;6304325958746040;958746040;1131;141
3132;124500;7897886228257420;6717370196535520;196535520;1132;142
3133;898697;6651647845375300;5721231751815840;751815840;1133;143
3134;679808;5211864550910080;6279693585064950;585064950;1134;144
3135;212878;8290407029506720;2380578421756550;421756550;1135;145
3136;421956;2673258587736400;9957111327274930;327274930;1136;146
3137;57356;7160550091660600;6860999887271440;887271440;1137;147
3138;300751;4964739480106820;4122308114108580;114108580;1138;148
3139;309276;6653236617056420;9825346267823230;267823230;1139;149
3140;505074;9358485583032770;6967718839461930;839461930;1140;150
3141;941058;6406964193518490;3346596822546700;822546700;1141;151
3142;500479;9503829152965020;2688271058172670;058172670;1142;152
3143;407601;6850348737320160;9708230993569910;993569910;1143;153
3144;367570;5043850876722630;3115604626457240;626457240;1144;154
3145;131158;4569878443508870;3284687371024270;371024270;1145;155
3146;847413;5560342099917860;6211883255397480;255397480;1146;156
3147;865092;8661428463841310;1014944143898460;143898460;1147;157
3148;750227;2382665213084830;9210670761089160;761089160;1148;158
3149;967809;8368665118784110;4727660023905200;023905200;1149;159
3150;633605;7982340640993640;9603790491619670;491619670;1150;160
3151;868088;1670256842560200;5278676270153560;270153560;1151;161
3152;906523;6945570192704540;2915620327210040;327210040;1152;162
3153;253070;5060440383571900;7213468829382630;829382630;1153;163
3154;765367;5635234114064660;7595189026208390;026208390;1154;164
3155;760156;8343188721343460;7473509883799510;883799510;1155;165
3156;618257;5620594791161290;9835992365233860;365233860;1156;166
3157;204047;7234263056086190;6763346593317380;593317380;1157;167
3158;903892;7162453238597510;9335380445396020;445396020;1158;168
3159;620215;3615410771689730;6463837033226420;033226420;1159;169
3160;461176;5815560297490630;3782210413002140;413002140;1160;170
