idClient;Full_name;Place_of_residence;Place_of_work;Date_of_Birth
1001;Егор Бирюков;Магнитогорск, Володарского ул., д.84;Астрахань, Гоголя ул., д.2;1990-11-11
1002;Степан Воронов;Махачкала, Новоселов ул., д.79;Архангельск, Красная ул., д.67;1998-07-29
1003;Глеб Наумов;Бердск, Первомайская ул., д.18;Жуковский, Озерная ул., д.11;2000-04-13
1004;Егор Игнатов;Благовещенск, Трактовая ул., д.94;Оренбург, Трудовая ул., д.40;1994-02-28
1005;Олег Овчинников;Тольятти, Шоссейная ул., д.34;Подольск, Пионерская ул., д.34;1992-11-04
1006;Никита Титов;Новороссийск, Шоссейная ул., д.58;Курган, Фестивальная ул., д.36;1991-12-02
1007;Матвей Лебедев;Казань, Зеленый пер., д.95;Арзамас, Карла Маркса ул., д.18;1992-02-17
1008;Сергей Миронов;Норильск, 1-Мая ул., д.13;Домодедово, Больничная ул., д.60;1995-10-09
1009;Семен Савин;Серпухов, Майская ул., д.24;Ставрополь, Песочная ул., д.23;1993-05-02
1010;Андрей Гришин;Тамбов, Школьный пер., д.49;Обнинск, Пионерский пер., д.55;1999-03-29
1011;Тимофей Тимофеев;Королёв, Гражданская ул., д.33;Нефтекамск, Первомайский пер., д.52;1990-07-16
1012;Денис Климов;Красноярск, Дачная ул., д.44;Орехово-Зуево, Колхозная ул., д.20;1997-02-23
1013;Мирон Никулин;Арзамас, Горького ул., д.1;Ногинск, Есенина ул., д.98;1991-02-15
1014;Елисей Марков;Смоленск, Крупской ул., д.67;Владивосток, Колхозный пер., д.3;1991-11-04
1015;Максим Макаров;Благовещенск, Нагорная ул., д.1;Ессентуки, Нагорная ул., д.45;1991-07-27
1016;Игорь Логинов;Раменское, Песочная ул., д.67;Северск, Октябрьская ул., д.67;1994-04-28
1017;Сергей Никифоров;Архангельск, Народная ул., д.81;Каменск - Уральский, Куйбышева ул., д.57;1990-07-27
1018;Елисей Крылов;Новороссийск, Дорожная ул., д.17;Химки, Крупской ул., д.91;1990-05-09
1019;Павел Петров;Нижний Тагил, Тимирязева ул., д.83;Сергиев Посад, Кутузова ул., д.52;1997-04-01
1020;Николай Логинов;Хасавюрт, Пролетарская ул., д.87;Воронеж, Строителей ул., д.20;1998-05-16
1021;Вадим Белов;Энгельс, Крупской ул., д.20;Хабаровск, Таежная ул., д.16;1994-11-14
1022;Тимур Мальцев;Хасавюрт, Энтузиастов ул., д.74;Мытищи, Сосновая ул., д.95;1996-11-08
1023;Степан Фомин;Элиста, Дзержинского ул., д.61;Люберцы, Дачная ул., д.25;1999-04-13
1024;Савелий Краснов;Комсомольск-на-Амуре, Станционная ул., д.89;Сыктывкар, Советская ул., д.49;1996-05-30
1025;Олег Лазарев;Красноярск, Фабричная ул., д.3;Рубцовск, Нагорная ул., д.88;1991-02-15
1026;Александр Гончаров;Тамбов, Степная ул., д.5;Ульяновск, Восточная ул., д.96;1995-09-28
1027;Роман Исаев;Волгоград, Титова ул., д.10;Симферополь, Зеленый пер., д.2;1998-06-05
1028;Иван Кузьмин;Раменское, Ломоносова ул., д.7;Новочеркасск, Рабочий пер., д.95;1992-04-26
1029;Виталий Дроздов;Октябрьский, Дружбы ул., д.60;Норильск, Чкалова ул., д.96;1993-02-15
1030;Антон Гусев;Ульяновск, Шоссейная ул., д.91;Кисловодск, Березовая ул., д.56;1990-04-26
1031;Роман Зотов;Великий Новгород, Гайдара ул., д.33;Ставрополь, Березовая ул., д.24;1993-09-14
1032;Антон Павлов;Барнаул, Почтовый пер., д.20;Ростов-на-Дону, Степная ул., д.1;1995-03-24
1033;Андрей Козлов;Владикавказ, Мостовая ул., д.15;Пермь, Крылова ул., д.94;1998-11-29
1034;Владимир Исмаилов;Ачинск, Парковая ул., д.1;Новосибирск, Целинная ул., д.18;1998-02-28
1035;Иван Рыбаков;Нефтеюганск, Комарова ул., д.20;Бердск, Заводская ул., д.77;1996-04-21
1036;Степан Цветков;Керчь, Совхозная ул., д.82;Новомосковск, лет Октября ул., д.69;1999-10-05
1037;Александр Демидов;Новокуйбышевск, Береговая ул., д.46;Чита, Родниковая ул., д.24;1995-01-20
1038;Богдан Харитонов;Набережные Челны, Уральская ул., д.66;Нефтекамск, Гоголя ул., д.27;1994-04-01
1039;Макар Яковлев;Калининград, Майская ул., д.19;Хабаровск, Дружбы ул., д.63;1991-04-05
1040;Никита Игнатов;Симферополь, Озерная ул., д.69;Нижнекамск, Ломоносова ул., д.56;1991-01-06
